ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-26T11:47:37.065+02:00,25.62,1.44,-1.56,11.41,-0.11,-0.07,0.02,31.35,3895
2026-08-26T11:47:38.065+02:00,25.69,1.66,-1.64,12.02,-0.09,-0.06,0.0,31.4,4640
2026-08-26T11:47:39.066+02:00,25.69,2.06,-1.37,12.0,-0.13,-0.09,0.01,31.45,4939
2026-08-26T11:47:40.064+02:00,25.69,1.7,-1.7,11.97,-0.12,-0.08,0.01,31.35,3708
2026-08-26T11:47:42.460+02:00,25.69,1.83,-1.2,11.24,-0.08,-0.06,0.01,31.54,1749
2026-08-26T11:47:43.460+02:00,25.62,1.44,-1.75,11.63,-0.11,-0.07,0.02,31.4,1032
2026-08-26T11:47:44.459+02:00,25.62,1.56,-1.5,11.4,-0.11,-0.07,0.01,31.45,4399
2026-08-26T11:47:45.459+02:00,25.62,1.64,-1.46,11.41,-0.09,-0.06,0.0,31.4,1147
2026-08-26T11:47:46.456+02:00,25.69,1.79,-1.94,12.23,-0.11,-0.07,0.01,31.45,3150
2026-08-26T11:47:47.456+02:00,25.69,1.49,-1.44,11.46,-0.12,-0.08,0.01,31.49,1360
2026-08-26T11:47:48.458+02:00,25.62,1.51,-1.6,11.51,-0.11,-0.07,0.01,31.4,1322
2026-08-26T11:47:49.458+02:00,25.69,1.59,-1.28,10.99,-0.09,-0.06,0.0,31.45,2147
2026-08-26T11:47:50.458+02:00,25.69,1.57,-2.01,11.78,-0.11,-0.07,0.02,31.49,889
2026-08-26T11:47:51.457+02:00,25.69,1.47,-1.77,11.72,-0.12,-0.07,0.02,31.54,955
2026-08-26T11:47:52.456+02:00,25.69,1.54,-1.32,11.34,-0.1,-0.06,0.0,31.49,5830
2026-08-26T11:47:53.456+02:00,25.69,1.9,-2.02,12.22,-0.1,-0.07,0.0,31.45,4683
2026-08-26T11:47:54.456+02:00,25.69,1.79,-1.25,11.68,-0.13,-0.09,0.01,31.49,1446
2026-08-26T11:47:55.456+02:00,25.69,1.43,-1.4,11.41,-0.11,-0.07,0.01,31.54,1310
2026-08-26T11:47:56.453+02:00,25.69,1.57,-1.38,11.46,-0.11,-0.07,0.0,31.49,1142
2026-08-26T11:47:57.454+02:00,25.69,1.96,-1.97,12.32,-0.13,-0.09,0.0,31.49,3006
2026-08-26T11:47:58.455+02:00,25.69,1.64,-1.17,11.38,-0.11,-0.08,0.0,31.45,1154
2026-08-26T11:47:59.454+02:00,25.69,1.48,-1.53,11.62,-0.11,-0.07,0.01,31.45,3438
2026-08-26T11:48:00.454+02:00,25.69,1.62,-1.62,11.61,-0.12,-0.08,0.01,31.45,2836
2026-08-26T11:48:01.454+02:00,25.69,1.64,-1.49,11.24,-0.09,-0.06,0.01,31.54,1429
2026-08-26T11:48:02.454+02:00,25.69,1.6,-1.9,12.02,-0.1,-0.07,0.02,31.54,3677
2026-08-26T11:48:03.453+02:00,25.69,1.41,-1.48,11.32,-0.11,-0.07,0.01,31.45,3247
2026-08-26T11:48:04.453+02:00,25.69,1.61,-1.57,11.52,-0.1,-0.07,0.01,31.45,3863
2026-08-26T11:48:05.452+02:00,25.69,1.64,-1.49,11.37,-0.09,-0.06,0.01,31.59,1236
2026-08-26T11:48:06.450+02:00,25.69,1.56,-1.9,12.01,-0.11,-0.08,0.02,31.54,2895
2026-08-26T11:48:07.452+02:00,25.69,1.42,-1.54,11.55,-0.11,-0.07,0.01,31.59,1591
2026-08-26T11:48:08.452+02:00,25.69,1.67,-1.59,11.64,-0.09,-0.06,0.0,31.54,936
2026-08-26T11:48:09.459+02:00,25.69,1.92,-1.9,12.25,-0.11,-0.08,0.01,31.49,1306
2026-08-26T11:48:10.448+02:00,25.69,1.66,-1.35,11.64,-0.0,-0.0,-0.0,36.53,1134
2026-08-26T11:48:12.053+02:00,25.69,1.51,-1.8,11.78,-0.12,-0.08,0.01,31.45,1037
2026-08-26T11:48:13.055+02:00,25.69,1.64,-1.43,11.66,-0.1,-0.07,0.01,31.54,860
2026-08-26T11:48:14.055+02:00,25.69,1.99,-1.96,12.19,-0.11,-0.07,0.01,31.59,5214
2026-08-26T11:48:15.054+02:00,25.69,1.67,-1.96,12.04,-0.13,-0.09,0.01,31.49,1074
2026-08-26T11:48:16.055+02:00,25.69,1.45,-1.75,11.74,-0.12,-0.08,0.01,31.54,1778
2026-08-26T11:48:17.053+02:00,25.69,1.51,-1.38,11.07,-0.1,-0.07,0.01,31.49,1935
2026-08-26T11:48:18.050+02:00,25.69,1.71,-1.64,11.77,-0.1,-0.07,0.01,31.49,918
2026-08-26T11:48:19.050+02:00,25.69,1.74,-2.03,12.16,-0.11,-0.08,0.02,31.59,978
2026-08-26T11:48:20.049+02:00,25.69,1.47,-1.57,11.73,-0.12,-0.08,0.01,31.54,1288
2026-08-26T11:48:21.052+02:00,25.69,1.48,-1.3,11.08,-0.1,-0.07,0.01,31.59,1405
2026-08-26T11:48:22.052+02:00,25.69,1.73,-1.79,11.95,-0.08,-0.06,0.0,31.64,2545
2026-08-26T11:48:23.050+02:00,25.75,1.81,-1.91,12.22,-0.1,-0.06,0.02,31.54,1054
2026-08-26T11:48:24.051+02:00,25.75,1.46,-1.8,11.72,-0.12,-0.07,0.02,31.45,3712
